,day,mm
1,2012-01-31,6.7
2,2012-02-23,0.8
3,2012-03-23,47.4
4,2012-04-21,157
5,2012-05-14,8.2
6,2012-06-30,91.9
7,2012-07-06,448.9
8,2012-08-21,464.9
9,2012-09-17,212
10,2012-10-27,99.3
11,2012-11-11,67.8
12,2012-12-14,41.4
13,2013-01-21,22.1
14,2013-02-01,74.1
15,2013-03-13,27.3
16,2013-04-29,71.7
17,2013-05-27,132
18,2013-06-18,28.3
19,2013-07-13,676.2
20,2013-08-06,148.6
21,2013-09-13,138.5
22,2013-10-11,13.5
23,2013-11-24,46.8
24,2013-12-09,24.7
25,2014-01-20,13
26,2014-02-01,16.2
27,2014-03-29,7.2
28,2014-04-28,31
29,2014-05-11,63
30,2014-06-03,98.1
31,2014-07-25,207.9
32,2014-08-21,172.8
33,2014-09-03,88.1
34,2014-10-20,52.2
35,2014-11-28,41.5
36,2014-12-15,17.9
37,2015-01-18,11.3
38,2015-02-16,22.7
39,2015-03-03,9.6
40,2015-04-02,80.5
41,2015-05-11,28.9
42,2015-06-20,99
43,2015-07-25,226
44,2015-08-16,72.9
45,2015-09-03,26
46,2015-10-01,81.5
47,2015-11-07,104.6
48,2015-12-02,29.1
49,2016-01-13,1
50,2016-02-13,47.6
51,2016-03-05,40.5
52,2016-04-16,76.8
53,2016-05-15,160.5
54,2016-06-22,54.4
55,2016-07-01,358.2
56,2016-08-26,67.1
57,2016-09-27,33
58,2016-10-25,74.8
59,2016-11-07,16.7
60,2016-12-21,61.1
61,2017-01-29,14.9
62,2017-02-22,11.1
63,2017-03-01,7.9
64,2017-04-05,61.6
65,2017-05-13,16.1
66,2017-06-26,66.6
67,2017-07-10,621
68,2017-08-20,297
69,2017-09-11,35
70,2017-10-11,26.5
71,2017-11-25,40.7
72,2017-12-24,34.8
73,2018-01-22,8.5
74,2018-02-28,29.6
75,2018-03-15,49.5
76,2018-04-23,130.3
77,2018-05-17,222
78,2018-06-26,171.5
79,2018-07-01,185.6
80,2018-08-28,202.6
81,2018-09-03,68.5
82,2018-10-06,120.5
83,2018-11-08,79.1
84,2018-12-03,16.4
85,2019-01-28,0
86,2019-02-03,23.8
87,2019-03-20,26.8
88,2019-04-09,47.3
89,2019-05-19,37.8
90,2019-06-07,74
91,2019-07-31,194.4
92,2019-08-12,190.5
93,2019-09-10,139.8
94,2019-10-07,55.5
95,2019-11-17,78.8
96,2019-12-17,22.6
97,2020-01-07,60.5
98,2020-02-25,53.1
99,2020-03-10,16.3
100,2020-04-19,16.9
101,2020-05-18,112.4
102,2020-06-30,139.6
103,2020-07-23,270.4
104,2020-08-03,675.7
105,2020-09-07,181.5
106,2020-10-22,0
107,2020-11-19,120.1
108,2020-12-13,4.6
109,2021-01-21,18.9
110,2021-02-03,7.1
111,2021-03-01,110.9
112,2021-04-03,124.1
113,2021-05-16,183.1
114,2021-06-27,104.6
115,2021-07-19,168.3
116,2021-08-31,211.2
117,2021-09-21,131
118,2021-10-10,57
119,2021-11-30,62.4
120,2021-12-18,7.9
121,2022-01-19,5.5
122,2022-02-14,4.7
123,2022-03-13,102.6
124,2022-04-29,20.4
125,2022-05-25,7.5
126,2022-06-30,393.8
